system:index,Dissolved Reactive Phosphorus,Electrical Conductance,Index,Latitude,Longitude,MNDWI,NDMI,Sample Date,Total Alkalinity,elevation,green,humidity,modis_lc_class,nir,pet,population_3km,precip_0d,precip_1d,precip_3d_sum,slope,soil_clay,soil_ph,soil_sand,swir16,swir22,temp_c,water_occurrence,.geo
0,10,555,1,-28.760833,17.73027802,0.195594737,0.185538339,2/1/2011,128.9120026,166,11426,43.40652492,16,11190,174.2,0.038670851,0,0,0,15.68506692,23,80,63,7687.5,7645,22.33625247,98,"{""type"":""Point"",""coordinates"":[17.73027801513672,-28.760833000000005]}"
1,163,162.8999939,2,-26.861111,28.88472176,-0.180134355,0.124566152,3/1/2011,74.72000122,1525,9550,84.07567695,12,17658.5,124.1,119.6157047,25.31598729,0,40.56112201,2.784306215,32,67,54,13746.5,10574,19.88001022,0,"{""type"":""Point"",""coordinates"":[28.884721755981445,-26.861111]}"
2,80,573,3,-26.45000076,28.0858326,-0.252805465,-0.083293153,3/1/2011,89.2539978,1476,10720,82.64122312,10,15210,127.5,2118.426142,27.11612982,3.255349347,30.62637797,3.239776951,29,64,53,17974,14201,20.25313848,0,"{""type"":""Point"",""coordinates"":[28.085832595825195,-26.45000076293945]}"
3,101,203.6000061,4,-27.671111,27.2369442,-0.105415903,0.048048154,3/1/2011,82,1343,10943,80.93595657,13,14887,129.7,12659.07239,8.213219336,16.42643867,49.67062012,4.282532506,30,67,54,13522,11403,20.82133509,0,"{""type"":""Point"",""coordinates"":[27.2369441986084,-27.671111]}"
4,151,145.1000061,5,-27.35666656,27.286389,-0.142683147,0.141147352,3/1/2011,56.09999847,1361,9502.5,80.41215414,12,16828.5,129.2,60.78863534,7.064232594,24.72313831,50.08171417,4.627367506,27,66,60,12665.5,9643,20.87040736,0,"{""type"":""Point"",""coordinates"":[27.286389,-27.35666656494141]}"
5,192,289.7999878,6,-27.01011111,26.69808333,0.042672263,0.129650661,4/1/2011,82.19999695,1291,10433.5,74.84632894,10,12433.5,98.6,3151.94203,6.377349184,0.449343603,15.43843445,3.847464255,,,,9579.5,8531.5,21.90289141,61,"{""type"":""Point"",""coordinates"":[26.69808333,-27.01011111]}"
6,163,438,7,-25.127778,27.628889,-0.124393639,0.079430861,4/1/2011,125,959,5189.5,74.95432601,10,7814,105.5,118.6866787,0,10.03603554,30.10810661,0.927409937,27,71,54,6664,5222,23.7273543,0,"{""type"":""Point"",""coordinates"":[27.628889000000004,-25.127777999999996]}"
7,69,568,8,-25.20639038,27.55800056,0.007265903,0.156299841,4/1/2011,116.6200027,956,10466.5,74.10434508,10,14137.5,103.700005,400.101174,5.829754558,8.443699368,21.00025589,5.194470619,29,67,55,10315.5,8536,23.74021238,0,"{""type"":""Point"",""coordinates"":[27.5580005645752,-25.20639038085938]}"
8,158,583,9,-24.69514084,27.40905952,-0.056388895,0.131943559,4/1/2011,181.8309937,907,10647,75.10132618,12,15543,111.8,154.5506935,5.01517162,10.45090348,17.10522081,14.55362964,33,68,49,11919.5,9642.5,24.03187904,0,"{""type"":""Point"",""coordinates"":[27.409059524536133,-24.69514083862305]}"
9,158,452,10,-26.98472222,26.63227778,-0.157090654,-0.011861561,4/1/2011,196,1289,10207,76.19317381,10,13683,98.200005,41516.36378,10.08238071,0.089868721,15.25837414,5.189790205,27,68,58,14011.5,11850.5,21.70855548,0,"{""type"":""Point"",""coordinates"":[26.63227778,-26.984722220000002]}"
0000000000000000000a,132,227.8999939,11,-28.141944,26.41777802,-0.167495082,0.020982246,4/1/2011,94.71800232,1269,9840,80.6424086,10,14391,93.8,49.29005826,8.222902587,6.789087095,35.37925142,2.971977294,28,70,57,13799.5,11265,21.42209714,0,"{""type"":""Point"",""coordinates"":[26.417778015136722,-28.141944]}"
0000000000000000000b,114,226.3000031,12,-27.39861107,26.614722,-0.111660165,0.095012086,4/1/2011,86.80000305,1257,10247,76.95610417,10,15515.5,100.9,5008.419326,0,15.64025986,30.05121428,5.579448911,30,67,55,12823,10403.5,21.89849688,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
0000000000000000000c,74,769,13,-33.50166702,21.624167,,,4/1/2011,201,240,,58.81831674,9,,100.200005,47.76103237,0,0,4.004685648,0,19,71,65,,,24.8601668,0,"{""type"":""Point"",""coordinates"":[21.624167000000003,-33.50166702270508]}"
0000000000000000000d,10,73,14,-32.502778,19.53583336,-0.191959055,-0.045345159,4/1/2011,10.38700008,383,13104,45.04563552,7,17653,119.9,0.872454304,0,0,1.823098618,2.989208199,18,75,72,19330,16984,28.97377357,0,"{""type"":""Point"",""coordinates"":[19.535833358764652,-32.502778]}"
