Index,Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI,pet,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
1,-28.760833,17.730278,2/1/2011,11190,11426,7687.5,7645,0.185538339,0.195594737,174.2,128.912,555,10
2,-26.861111,28.884722,3/1/2011,17658.5,9550,13746.5,10574,0.124566152,-0.180134355,124.1,74.72,162.9,163
3,-26.45,28.085833,3/1/2011,15210,10720,17974,14201,-0.083293153,-0.252805465,127.5,89.254,573,80
4,-27.671111,27.236944,3/1/2011,14887,10943,13522,11403,0.048048154,-0.1054159,129.7,82,203.6,101
5,-27.356667,27.286389,3/1/2011,16828.5,9502.5,12665.5,9643,0.141147352,-0.142683147,129.2,56.1,145.1,151
6,-27.01011111,26.69808333,4/1/2011,12433.5,10433.5,9579.5,8531.5,0.129650661,0.042672263,98.6,82.2,289.8,192
7,-25.127778,27.628889,4/1/2011,7814,5189.5,6664,5222,0.079430861,-0.124393639,105.5,125,438,163
8,-25.20639,27.558,4/1/2011,14137.5,10466.5,10315.5,8536,0.156299841,0.007265903,103.700005,116.62,568,69
9,-24.69514,27.40906,4/1/2011,15543,10647,11919.5,9642.5,0.131943559,-0.056388895,111.8,181.831,583,158
10,-26.98472222,26.63227778,4/1/2011,13683,10207,14011.5,11850.5,-0.011861561,-0.157090654,98.200005,196,452,158
11,-28.141944,26.417778,4/1/2011,14391,9840,13799.5,11265,0.020982246,-0.167495082,93.8,94.718,227.9,132
12,-27.398611,26.614722,4/1/2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165,100.9,86.8,226.3,114
13,-33.501667,21.624167,4/1/2011,,,,,,,100.200005,201,769,74
14,-32.502778,19.535833,4/1/2011,17653,13104,19330,16984,-0.045345159,-0.191959055,119.9,10.387,73,10
15,-25.45963889,28.26430556,4/1/2011,13959,9926,15156.5,12552.5,-0.041129295,-0.208531845,103.6,108.94,396,82
16,-27.495556,26.074722,4/1/2011,17937.5,11044.5,18143.5,14152.5,-0.005709376,-0.24321639,99.700005,67.8,218.6,91
17,-26.648056,27.089444,5/1/2011,19310.5,9597,12954.5,9447.5,0.196993646,-0.148881449,83.5,211,532,62
18,-26.970278,27.211111,5/1/2011,10218,11040,7946.5,7735,0.125051612,0.162931557,82.1,71.5,248.4,117
19,-27.38972222,26.46388889,5/1/2011,11481,11597,8583,8196.5,0.144437799,0.149355798,83.200005,82.14,255.5,74
20,-27.044444,27.005,5/1/2011,17418.5,9908,13987,10115,0.109264301,-0.170705168,82.4,83,220.9,85
21,-30.830556,26.921389,6/1/2011,5266.5,4491,3672.5,3764.5,0.178319723,0.100263367,57,62.099,145,10
22,-27.00222,28.76528,6/1/2011,13724,9691,13005.5,10754.5,0.026880413,-0.146035732,70,34.855,114.5,150
23,-27.02314,28.59389,6/1/2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,72.4,41.408,148.8,152
24,-30.679722,26.7125,6/1/2011,13400,10548,7764,7659,0.266301266,0.152031455,59.8,55.297,138.3,44
25,-30.160091,27.40124,6/1/2011,14158,10060,12037.5,10023.5,0.080949018,-0.089489761,57.4,57.916,167.1,13
26,-32.595833,19.009444,6/1/2011,15218.5,10334,14735,12208.5,0.016141686,-0.175555467,52.7,8.621,63.1,19
27,-25.99136,27.84208,10/1/2011,18631.5,11771.5,16495,12815,0.060823025,-0.167105938,173.2,82.432,283.8,32
28,-26.73806,27.59194,10/1/2011,9089.5,9167,7963,7740,0.066060695,0.070286048,179.40001,55.3,189.1,105
29,-26.45,28.085833,10/1/2011,15210,10720,17974,14201,-0.083293153,-0.252805465,172.90001,105.711,635,80
30,-30.86013889,29.07125,10/1/2011,14558,10724.5,11450,10000.5,0.119501692,-0.032717761,138,40.861,95.6,10
31,-27.356667,27.286389,10/1/2011,16828.5,9502.5,12665.5,9643,0.141147352,-0.142683147,185.8,64.1,164,151
32,-27.01011111,26.69808333,11/1/2011,12433.5,10433.5,9579.5,8531.5,0.129650661,0.042672263,191.7,66.1,203.4,131
33,-25.73411,27.21422,11/1/2011,21914,17765,22170.5,17965.5,-0.005818372,-0.110315384,182.5,8,34.04,56
34,-26.98472222,26.63227778,11/1/2011,13683,10207,14011.5,11850.5,-0.011861561,-0.157090654,192,128,196.7,158
35,-27.398611,26.614722,11/1/2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165,197.40001,71.6,190.6,127
36,-27.671111,27.236944,11/1/2011,14887,10943,13522,11403,0.048048154,-0.1054159,192.1,75.096,275.7,71
37,-29.160278,26.573333,11/1/2011,,,,,,,199.1,120.27,177.3,10
38,-34.250556,20.9925,11/1/2011,12323,9019,13161,10800.5,-0.032883378,-0.186744815,140.2,26.8,304.5,12
39,-25.45963889,28.26430556,11/1/2011,13959,9926,15156.5,12552.5,-0.041129295,-0.208531845,182.8,132,489,82
40,-25.81048333,27.90955222,12/1/2011,16870.5,9753,13408,10257,0.11435507,-0.157808385,164.1,131,584,10
41,-27.273889,28.49,12/1/2011,12333,9060,9264.5,8181,0.142076629,-0.011159923,164.3,49.114,136.6,32
42,-27.4275,28.525833,12/1/2011,16767,10794,18026.5,15340.5,-0.03619929,-0.250949845,163.6,62.326,163.9,45
43,-28.883333,27.89,12/1/2011,14007.5,9248,12553.5,9979,0.054741915,-0.151618008,164.2,117.44,271.7,10
44,-27.00222,28.76528,13-01-2011,13724,9691,13005.5,10754.5,0.026880413,-0.146035732,161.6,63.848,190.9,62
45,-27.02314,28.59389,13-01-2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,163.1,62.806,192.7,35
46,-30.534167,24.961944,13-01-2011,15132.5,10835,13586,11169,0.053850306,-0.11264895,205,100.962,142.6,80
47,-28.460833,21.248889,13-01-2011,14599,12046.5,12067,11038.5,0.094952374,-0.000850146,244.7,102.898,353,51
48,-29.658056,25.973333,14-01-2011,14001,10765,12520,10583,0.05584254,-0.07537041,186.90001,86.742,107,85
49,-28.760833,17.730278,16-01-2011,11190,11426,7687.5,7645,0.185538339,0.195594737,257.5,95.398,297.2,64
50,-25.513889,31.224444,17-01-2011,14776,9116.5,12424,9895,0.086470588,-0.153547968,149.40001,63.165,155.5,11
51,-26.861111,28.884722,17-01-2011,17658.5,9550,13746.5,10574,0.124566152,-0.180134355,161,101.685,315.4,114
52,-31.554722,29.245556,17-01-2011,19619,9449,13890,10042,0.170968993,-0.19028236,123.700005,58.2,197.2,12
53,-28.058889,30.373611,17-01-2011,14514,9326,12189.5,9706,0.087048514,-0.133090098,158,58,220,100
54,-25.127778,27.628889,18-01-2011,7814,5189.5,6664,5222,0.079430861,-0.124393639,169.3,131,415,163
55,-25.20639,27.558,18-01-2011,14137.5,10466.5,10315.5,8536,0.156299841,0.007265903,170,102,516,90
56,-24.69514,27.40906,18-01-2011,15543,10647,11919.5,9642.5,0.131943559,-0.056388895,172.90001,124,509,158
57,-25.681111,31.783333,18-01-2011,13298.5,10809,10191,9261,0.132293152,0.029428571,149.2,53.322,247.7,10
58,-27.802778,28.768333,18-01-2011,12128.5,9803.5,9325,8486,0.130677978,0.02501503,159.1,41.891,116.9,23
59,-27.398611,26.614722,18-01-2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165,191.90001,133.319,323.7,139
60,-31.104278,29.399722,18-01-2011,,,,,,,134.1,52.984,129,10
61,-31.396,29.2651,18-01-2011,12488,11835.5,8894,8335,0.168085305,0.141899226,134.5,35.741,89.2,10
62,-33.38056,19.30167,18-01-2011,15820,10665.5,16377.5,13975,-0.017315009,-0.211219169,194.3,32.968,174.3,41
63,-33.31388889,19.07472222,18-01-2011,13162.5,9546.5,12786,10889,0.014509509,-0.145057651,205.90001,30.257,208.2,23
64,-27.495556,26.074722,18-01-2011,17937.5,11044.5,18143.5,14152.5,-0.005709376,-0.24321639,194.2,176,458,91
65,-24.39619444,27.08983333,19-01-2011,,,,,,,169.2,120,508,142
66,-26.970278,27.211111,19-01-2011,10218,11040,7946.5,7735,0.125051612,0.162931557,173.90001,63.9,202.4,101
67,-26.880278,26.965,19-01-2011,14265,9582.5,14182,11071.5,0.002917707,-0.193544994,175.5,235,593,176
68,-27.273889,28.49,19-01-2011,12333,9060,9264.5,8181,0.142076629,-0.011159923,164.3,63.114,149.5,11
69,-27.3,28.586944,19-01-2011,14954,9636,14753,11537.5,0.006766082,-0.2098077,163.40001,59.091,150.3,16
70,-27.044444,27.005,19-01-2011,17418.5,9908,13987,10115,0.109264301,-0.170705168,178.7,83.5,225.2,102
71,-30.568333,29.422778,19-01-2011,16880,9196.5,12987.5,10366.5,0.130325605,-0.170888929,137.7,40.9,109.3,12
72,-30.570833,29.150556,19-01-2011,,,,,,,138.90001,40.72,90.6,10
73,-34.031944,22.053333,19-01-2011,9058,7859,8310,7822,0.043067711,-0.027892881,157.5,17.64,266.5,10
74,-33.13083,18.86278,19-01-2011,15187,11456.5,14527,12799,0.022211752,-0.118171147,207.1,19.323,117.3,35
75,-33.7075,18.97444444,19-01-2011,14270,9913,13652,11469.5,0.022133085,-0.158667515,200.3,7.891,78.6,27
76,-25.57877778,29.12747222,19-01-2011,13560,10076,16388,13014,-0.094430346,-0.238512696,161.6,58.232,231.7,10
77,-26.006389,29.253889,20-01-2011,,,,,,,152,77.092,367,14
78,-27.02314,28.59389,20-01-2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,163.1,94.557,254.9,15
79,-30.679722,26.7125,20-01-2011,13400,10548,7764,7659,0.266301266,0.152031455,180.90001,73.862,158.9,10
80,-28.460833,21.248889,20-01-2011,14599,12046.5,12067,11038.5,0.094952374,-0.000850146,244.7,85.7,259.1,29
81,-30.77586667,29.03221667,20-01-2011,,,,,,,141.5,40.9,110.2,12
82,-24.925278,29.324444,21-01-2011,13185,9112,13904.5,11277,-0.026560106,-0.20822019,162.40001,85.636,381,59
83,-28.460833,21.248889,21-01-2011,14599,12046.5,12067,11038.5,0.094952374,-0.000850146,244.7,81,243.2,43
84,-24.679167,30.8025,24-01-2011,12245,9505.5,14908.5,13718,-0.098090486,-0.221307447,143.3,24.95,99.6,10
85,-25.99136,27.84208,24-01-2011,18631.5,11771.5,16495,12815,0.060823025,-0.167105938,161.1,90.9,324.2,32
86,-25.49037,30.6986,24-01-2011,10676,8325,8915.5,8274,0.089860399,-0.034250747,144.7,36.957,124.5,10
87,-26.970278,27.211111,24-01-2011,10218,11040,7946.5,7735,0.125051612,0.162931557,173.90001,76.24,287.3,96
88,-27.671111,27.236944,24-01-2011,14887,10943,13522,11403,0.048048154,-0.1054159,182.90001,47.184,142.9,129
89,-27.356667,27.286389,24-01-2011,16828.5,9502.5,12665.5,9643,0.141147352,-0.142683147,182.40001,87.25,208.7,123
90,-27.01011111,26.69808333,25-01-2011,12433.5,10433.5,9579.5,8531.5,0.129650661,0.042672263,183.5,77.006,299.3,125
91,-26.98472222,26.63227778,25-01-2011,13683,10207,14011.5,11850.5,-0.011861561,-0.157090654,181.40001,153,410,158
92,-27.398611,26.614722,25-01-2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165,191.90001,60.7,162.1,138
93,-33.818056,19.694722,25-01-2011,,,,,,,201.8,11.901,145.1,10
94,-25.45963889,28.26430556,25-01-2011,13959,9926,15156.5,12552.5,-0.041129295,-0.208531845,164.5,144.132,560,82
95,-33.897778,20.012778,25-01-2011,13871,9154,11520,9420,0.092591863,-0.114443262,196.1,99.926,1368,56
96,-25.81048333,27.90955222,26-01-2011,16870.5,9753,13408,10257,0.11435507,-0.157808385,164.1,110,652,10
97,-34.065833,20.404167,26-01-2011,13535,8387,10165,8604,0.142194093,-0.095838724,179.3,68.815,758,10
98,-24.058889,31.237222,26-01-2011,14757.5,9468.5,13111.5,10821,0.05906204,-0.161337467,154.6,70.928,306.4,15
99,-26.648056,27.089444,26-01-2011,19310.5,9597,12954.5,9447.5,0.196993646,-0.148881449,170.90001,243,556,12
100,-26.880278,26.965,26-01-2011,14265,9582.5,14182,11071.5,0.002917707,-0.193544994,175.5,217,535,176
101,-27.273889,28.49,26-01-2011,12333,9060,9264.5,8181,0.142076629,-0.011159923,164.3,56.863,140.9,29
102,-27.044444,27.005,26-01-2011,17418.5,9908,13987,10115,0.109264301,-0.170705168,178.7,82.651,220.5,96
103,-34.092222,21.295278,26-01-2011,14913,9525,13943,11317,0.033615193,-0.188256349,173.1,26.088,187.5,10
104,-27.02314,28.59389,27-01-2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,163.1,113.459,167.3,12
105,-26.73806,27.59194,27-01-2011,9089.5,9167,7963,7740,0.066060695,0.070286048,168.1,63.354,199.9,56
106,-28.760833,17.730278,30-01-2011,11190,11426,7687.5,7645,0.185538339,0.195594737,257.5,84.627,230.7,33
107,-26.861111,28.884722,31-01-2011,17658.5,9550,13746.5,10574,0.124566152,-0.180134355,161,82.136,182.3,109
108,-26.73806,27.59194,31-01-2011,9089.5,9167,7963,7740,0.066060695,0.070286048,168.1,56.127,318.5,30
109,-25.127778,27.628889,1/2/2011,7814,5189.5,6664,5222,0.079430861,-0.124393639,169.3,128.967,377,163
110,-24.69514,27.40906,1/2/2011,15543,10647,11919.5,9642.5,0.131943559,-0.056388895,172.90001,125.275,491,158
111,-27.363611,31.783333,1/2/2011,17894.5,9281,13078,9695,0.155508919,-0.169819759,154.40001,69.459,186.9,10
112,-27.802778,28.768333,1/2/2011,12128.5,9803.5,9325,8486,0.130677978,0.02501503,159.1,43.422,116.9,13
113,-29.160278,26.573333,1/2/2011,,,,,,,190.1,110.418,255.6,86
114,-34.329722,18.990278,1/2/2011,10864,8959,12654,11808.5,-0.076111914,-0.170961921,158.2,9.639,159.1,10
115,-25.20639,27.558,2/2/2011,14137.5,10466.5,10315.5,8536,0.156299841,0.007265903,170,120.441,549,59
116,-23.281,30.54305556,3/2/2011,17210,11879.5,18270.5,15619.5,-0.029889658,-0.211973466,154.40001,179.566,377,10
117,-28.801278,31.955389,3/2/2011,16685.5,9427,12127,9348,0.158212581,-0.125266772,150.2,267.057,1405,27
118,-27.00222,28.76528,3/2/2011,13724,9691,13005.5,10754.5,0.026880413,-0.146035732,161.6,77.106,184.2,25
119,-27.02314,28.59389,3/2/2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,163.1,73.521,195,17
120,-27.3,28.586944,3/2/2011,14954,9636,14753,11537.5,0.006766082,-0.2098077,163.40001,79.329,175.8,18
121,-30.679722,26.7125,3/2/2011,13400,10548,7764,7659,0.266301266,0.152031455,180.90001,110.608,213.21,10
122,-28.460833,21.248889,3/2/2011,14599,12046.5,12067,11038.5,0.094952374,-0.000850146,244.7,83.815,282.2,61
123,-28.460833,21.248889,4/2/2011,14599,12046.5,12067,11038.5,0.094952374,-0.000850146,244.7,75.303,416.5,43.5
124,-29.140556,31.391944,7/2/2011,13930,11594,8610,8471,0.236024845,0.147693526,143.5,52.323,410,11
125,-25.99136,27.84208,7/2/2011,18631.5,11771.5,16495,12815,0.060823025,-0.167105938,161.1,98.8,368,15
126,-24.058889,31.237222,7/2/2011,14757.5,9468.5,13111.5,10821,0.05906204,-0.161337467,154.6,95.677,371,10
127,-26.73806,27.59194,7/2/2011,9089.5,9167,7963,7740,0.066060695,0.070286048,168.1,58.238,193.4,81
128,-30.86013889,29.07125,7/2/2011,14558,10724.5,11450,10000.5,0.119501692,-0.032717761,140.6,45.978,119.3,10
129,-27.356667,27.286389,7/2/2011,16828.5,9502.5,12665.5,9643,0.141147352,-0.142683147,182.40001,93.012,203.7,100
130,-28.058889,30.373611,7/2/2011,14514,9326,12189.5,9706,0.087048514,-0.133090098,158,71,290,100
131,-27.01011111,26.69808333,8/2/2011,12433.5,10433.5,9579.5,8531.5,0.129650661,0.042672263,183.5,101.723,207.1,15
132,-27.169444,29.233889,8/2/2011,6219,4774,5600.5,4803,0.052328779,-0.07966649,157.3,101.294,225.9,10
133,-26.98472222,26.63227778,8/2/2011,13683,10207,14011.5,11850.5,-0.011861561,-0.157090654,181.40001,206.521,612,158
134,-27.398611,26.614722,8/2/2011,15515.5,10247,12823,10403.5,0.095012086,-0.111660165,191.90001,92.527,237.8,53
135,-27.573056,24.746389,8/2/2011,17012.5,9767.5,12108,9335,0.168420872,-0.10699184,208.40001,113.181,304.7,10
136,-33.501667,21.624167,8/2/2011,,,,,,,189.1,178.546,896,24
137,-32.502778,19.535833,8/2/2011,17653,13104,19330,16984,-0.045345159,-0.191959055,233.40001,27.104,168.6,10
138,-25.45963889,28.26430556,8/2/2011,13959,9926,15156.5,12552.5,-0.041129295,-0.208531845,164.5,118.92,530,82
139,-26.970278,27.211111,9/2/2011,10218,11040,7946.5,7735,0.125051612,0.162931557,173.90001,68.54,209,90
140,-27.273889,28.49,9/2/2011,12333,9060,9264.5,8181,0.142076629,-0.011159923,164.3,82.521,189.8,31
141,-28.69485,28.23487,9/2/2011,14198,8931,11670,9620,0.097726921,-0.132954711,160.7,140.367,276.7,10
142,-28.883333,27.89,9/2/2011,14007.5,9248,12553.5,9979,0.054741915,-0.151618008,164.2,121.513,242.8,10
143,-27.02314,28.59389,10/2/2011,11490.5,9969.5,10372.5,9135,0.051136624,-0.019811228,163.1,132.58,353,25
144,-30.679722,26.7125,10/2/2011,11724,10468,7895,7622,0.195167949,0.140118717,180.90001,97.433,207.4,10
145,-30.534167,24.961944,10/2/2011,15132.5,10835,13586,11169,0.053850306,-0.11264895,205,60.941,152.6,10
146,-34.031944,22.053333,10/2/2011,9058,7859,8310,7822,0.043067711,-0.027892881,157.5,12.53,263.7,10
147,-34.039722,22.133333,10/2/2011,13491.5,9266,13393,11250.5,0.003663821,-0.182135134,156,5,396,10
148,-32.595833,19.009444,10/2/2011,15218.5,10334,14735,12208.5,0.016141686,-0.175555467,218.5,10.526,84.8,10
149,-28.801278,31.955389,11/2/2011,16685.5,9427,12127,9348,0.158212581,-0.125266772,150.2,116.762,515,14
150,-29.658056,25.973333,11/2/2011,14001,10765,12520,10583,0.05584254,-0.07537041,186.90001,101.804,213.9,147
151,-28.068333,31.55,11/2/2011,16337.5,9854.5,14979,11663,0.043379688,-0.20635432,159.1,56.453,190.7,10
152,-28.760833,17.730278,13-02-2011,11190,11426,7687.5,7645,0.185538339,0.195594737,257.5,77.58,217,35
